accession,file,path,bytes,words,status,form,filingDate,url,listing
0000748054-94-000017,0000748054-94-000017.txt,sec\0000748054-94-000017_0000748054-94-000017.txt,10407,1385,ok,SC 13G/A,1994-02-11,https://www.sec.gov/Archives/edgar/data/0000826083/000074805494000017/0000748054-94-000017.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000950134-94-000347,0000950134-94-000347.txt,sec\0000950134-94-000347_0000950134-94-000347.txt,237339,26544,ok,10-K,1994-04-01,https://www.sec.gov/Archives/edgar/data/0000826083/000095013494000347/0000950134-94-000347.txt,"listing via padded-cik/nodash-dir (5 items, 2 unnamed)"
0000950134-94-000615,0000950134-94-000615.txt,sec\0000950134-94-000615_0000950134-94-000615.txt,238177,33819,ok,DEF 14A,1994-05-24,https://www.sec.gov/Archives/edgar/data/0000826083/000095013494000615/0000950134-94-000615.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000950134-95-000249,0000950134-95-000249.txt,sec\0000950134-95-000249_0000950134-95-000249.txt,166623,22907,ok,S-3,1995-02-21,https://www.sec.gov/Archives/edgar/data/0000826083/000095013495000249/0000950134-95-000249.txt,"listing via padded-cik/nodash-dir (7 items, 4 unnamed)"
0000950134-95-000248,0000950134-95-000248.txt,sec\0000950134-95-000248_0000950134-95-000248.txt,21859,1993,ok,8-K,1995-02-21,https://www.sec.gov/Archives/edgar/data/0000826083/000095013495000248/0000950134-95-000248.txt,"listing via padded-cik/nodash-dir (5 items, 2 unnamed)"
0000950134-95-000391,0000950134-95-000391.txt,sec\0000950134-95-000391_0000950134-95-000391.txt,589859,77385,ok,10-K405,1995-03-17,https://www.sec.gov/Archives/edgar/data/0000826083/000095013495000391/0000950134-95-000391.txt,"listing via padded-cik/nodash-dir (8 items, 5 unnamed)"
0000950134-95-001339,0000950134-95-001339.txt,sec\0000950134-95-001339_0000950134-95-001339.txt,63763,8713,ok,424B2,1995-06-09,https://www.sec.gov/Archives/edgar/data/0000826083/000095013495001339/0000950134-95-001339.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000950134-95-001453,0000950134-95-001453.txt,sec\0000950134-95-001453_0000950134-95-001453.txt,7650,640,ok,POS AM,1995-06-26,https://www.sec.gov/Archives/edgar/data/0000826083/000095013495001453/0000950134-95-001453.txt,"listing via padded-cik/nodash-dir (4 items, 1 unnamed)"
0000950134-96-000963,0000950134-96-000963.txt,sec\0000950134-96-000963_0000950134-96-000963.txt,981952,133057,ok,10-K405,1996-03-28,https://www.sec.gov/Archives/edgar/data/0000826083/000095013496000963/0000950134-96-000963.txt,"listing via padded-cik/nodash-dir (20 items, 17 unnamed)"
