accession,file,path,bytes,words,status,form,filingDate,url,listing
0001193125-10-177203,d8k.htm,sec\0001193125-10-177203_d8k.htm,15548,434,ok,8-K,2010-08-04,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510177203/d8k.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-10-177203,dex991.htm,sec\0001193125-10-177203_dex991.htm,173407,4321,ok,8-K,2010-08-04,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510177203/dex991.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-10-177203,0001193125-10-177203.txt,sec\0001193125-10-177203_0001193125-10-177203.txt,190202,4896,ok,8-K,2010-08-04,https://www.sec.gov/Archives/edgar/data/0001318605/000119312510177203/0001193125-10-177203.txt,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001193125-11-023336,dsc13g.htm,sec\0001193125-11-023336_dsc13g.htm,42078,1091,ok,SC 13G,2011-02-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511023336/dsc13g.htm,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001193125-11-023336,0001193125-11-023336.txt,sec\0001193125-11-023336_0001193125-11-023336.txt,43579,1258,ok,SC 13G,2011-02-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511023336/0001193125-11-023336.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0000950155-11-000017,e61302924sc13g.htm,sec\0000950155-11-000017_e61302924sc13g.htm,254334,3119,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095015511000017/e61302924sc13g.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0000950155-11-000017,e61302924ex99_1.htm,sec\0000950155-11-000017_e61302924ex99_1.htm,28616,317,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095015511000017/e61302924ex99_1.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0000950155-11-000017,0000950155-11-000017.txt,sec\0000950155-11-000017_0000950155-11-000017.txt,284894,3670,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095015511000017/0000950155-11-000017.txt,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0000950123-11-013259,y89582sc13g.htm,sec\0000950123-11-013259_y89582sc13g.htm,61926,1934,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095012311013259/y89582sc13g.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0000950123-11-013259,y89582exv99wa.htm,sec\0000950123-11-013259_y89582exv99wa.htm,4201,163,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095012311013259/y89582exv99wa.htm,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0000950123-11-013259,0000950123-11-013259.txt,sec\0000950123-11-013259_0000950123-11-013259.txt,67897,2316,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000095012311013259/0000950123-11-013259.txt,"listing via padded-cik/nodash-dir (5 items, 0 unnamed)"
0001104659-11-006954,a11-5667_3sc13g.htm,sec\0001104659-11-006954_a11-5667_3sc13g.htm,183973,2473,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000110465911006954/a11-5667_3sc13g.htm,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001104659-11-006954,0001104659-11-006954.txt,sec\0001104659-11-006954_0001104659-11-006954.txt,186125,2722,ok,SC 13G,2011-02-14,https://www.sec.gov/Archives/edgar/data/0001318605/000110465911006954/0001104659-11-006954.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001193125-11-054847,d10k.htm,sec\0001193125-11-054847_d10k.htm,1669538,96605,ok,10-K,2011-03-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511054847/d10k.htm,"listing via padded-cik/nodash-dir (11 items, 0 unnamed)"
0001193125-11-054847,dex1047.htm,sec\0001193125-11-054847_dex1047.htm,129637,11651,ok,10-K,2011-03-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511054847/dex1047.htm,"listing via padded-cik/nodash-dir (11 items, 0 unnamed)"
0001193125-11-054847,dex312.htm,sec\0001193125-11-054847_dex312.htm,10104,531,ok,10-K,2011-03-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511054847/dex312.htm,"listing via padded-cik/nodash-dir (11 items, 0 unnamed)"
0001193125-11-054847,dex311.htm,sec\0001193125-11-054847_dex311.htm,10098,531,ok,10-K,2011-03-03,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511054847/dex311.htm,"listing via padded-cik/nodash-dir (11 items, 0 unnamed)"
0001193125-11-092509,ddef14a.htm,sec\0001193125-11-092509_ddef14a.htm,588431,28028,ok,DEF 14A,2011-04-08,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511092509/ddef14a.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-092509,0001193125-11-092509.txt,sec\0001193125-11-092509_0001193125-11-092509.txt,1200378,37166,ok,DEF 14A,2011-04-08,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511092509/0001193125-11-092509.txt,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0000315066-11-003331,filing.txt,sec\0000315066-11-003331_filing.txt,7210,1182,ok,SC 13G,2011-04-08,https://www.sec.gov/Archives/edgar/data/0001318605/000031506611003331/filing.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0000315066-11-003331,0000315066-11-003331.txt,sec\0000315066-11-003331_0000315066-11-003331.txt,8732,1371,ok,SC 13G,2011-04-08,https://www.sec.gov/Archives/edgar/data/0001318605/000031506611003331/0000315066-11-003331.txt,"listing via padded-cik/nodash-dir (4 items, 0 unnamed)"
0001193125-11-149963,ds1.htm,sec\0001193125-11-149963_ds1.htm,3125197,156467,ok,S-1,2011-05-25,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511149963/ds1.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-149963,dex51.htm,sec\0001193125-11-149963_dex51.htm,5661,426,ok,S-1,2011-05-25,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511149963/dex51.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-149963,dex231.htm,sec\0001193125-11-149963_dex231.htm,1557,81,ok,S-1,2011-05-25,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511149963/dex231.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-149963,0001193125-11-149963.txt,sec\0001193125-11-149963_0001193125-11-149963.txt,3162776,157477,ok,S-1,2011-05-25,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511149963/0001193125-11-149963.txt,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
0001193125-11-157135,ds1a.htm,sec\0001193125-11-157135_ds1a.htm,3121810,156268,ok,S-1/A,2011-06-02,https://www.sec.gov/Archives/edgar/data/0001318605/000119312511157135/ds1a.htm,"listing via padded-cik/nodash-dir (8 items, 0 unnamed)"
